"Payee","Amount","Date","Description","Directorate"
"Orkney Housing Association Limited",97833,"03-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Orkney Housing Association Limited",63743,"03-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Loreburn Housing Association Limited",34391,"03-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Moredun Research Institute",1002333,"04-05-2010","Moredun Grant In Aid","Rural & Environmental Research & Analysis"
"North Lanarkshire Council",72268,"04-05-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Fraserburgh Development Trust Limited",32624,"04-05-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"South Lanarkshire Council",511600,"04-05-2010","Warm Deal Cap Grts to LAs","Housing & Regeneration"
"Dunbritton Housing Assoc Limited",41116.66,"04-05-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"Melville Housing Assoc Limited",25920,"04-05-2010","Warm Deal- Cap Grts to RSL's","Housing & Regeneration"
"West Lothian Council",34780.33,"04-05-2010","Seconded Staff Costs","Directorate for the Built Environment"
"Rape Crisis Scotland",62046.25,"04-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Scottish Refugee Council",145000,"04-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Rape Crisis Scotland",67318,"04-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Show Racism the Red Card",42833,"04-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Glasgow City Council",37500,"04-05-2010","Equality Development","Equality, Social Inclusion and Sport"
"Money Advice Trust",100000,"04-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Money Advice Scotland",44000,"04-05-2010","Promoting Social Inclusion","Equality, Social Inclusion and Sport"
"Hebridean Housing Partnership Limited",274185,"04-05-2010","Affordable Housing Grant","Housing & Regeneration"
"Rural Stirling Housing Association limited",82924.28,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Weslo Housing Management",82253.95,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Weslo Housing Management",53011.25,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Link Group Limited",26275,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Tenants First Housing Co-operative",52829.49,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
"Weslo Housing Management",61441.24,"04-05-2010","Mortgage to rent Cap Grts to Priv Sect","Housing & Regeneration"
